Batch No.,공정명,작업실,시작,종료
116,a,R-1108,2021-05-08 13:30,2021-05-08 21:31
116,b,R-1108,2021-05-08 21:31,2021-05-09 10:30
117,a,R-1107,2021-05-09 11:00,2021-05-09 19:01
117,b,R-1107,2021-05-09 19:01,2021-05-10 07:30
118,a,R-1108,2021-05-10 19:50,2021-05-11 04:00
118,b,R-1108,2021-05-11 04:00,2021-05-11 18:00
119,a,R-1107,2021-05-12 02:30,2021-05-12 10:32
119,b,R-1107,2021-05-12 10:32,2021-05-13 01:38
120,a,R-1108,2021-05-12 16:30,2021-05-13 00:16
120,b,R-1108,2021-05-13 00:16,2021-05-13 13:45
121,a,R-1107,2021-05-14 00:10,2021-05-14 08:15
121,b,R-1107,2021-05-14 08:15,2021-05-14 21:30
122,a,R-1108,2021-05-15 04:32,2021-05-15 12:47
122,b,R-1108,2021-05-15 12:47,2021-05-16 02:50
123,a,R-1107,2021-05-16 03:00,2021-05-16 10:46
123,b,R-1107,2021-05-16 10:46,2021-05-17 01:50
124,a,R-1108,2021-05-17 11:50,2021-05-17 19:58
124,b,R-1108,2021-05-17 19:58,2021-05-18 10:00
125,a,R-1107,2021-05-18 07:00,2021-05-18 15:21
125,b,R-1107,2021-05-18 15:21,2021-05-19 04:46
126,a,R-1108,2021-05-19 06:00,2021-05-19 14:01
126,b,R-1108,2021-05-19 14:01,2021-05-20 03:45
127,a,R-1107,2021-05-20 13:00,2021-05-20 20:42
127,b,R-1107,2021-05-20 20:42,2021-05-21 09:00
128,a,R-1108,2021-05-21 07:30,2021-05-21 15:27
128,b,R-1108,2021-05-21 15:27,2021-05-22 05:20
129,a,R-1107,2021-05-22 07:30,2021-05-22 15:16
129,b,R-1107,2021-05-22 15:16,2021-05-23 05:20
130,a,R-1108,2021-05-23 08:40,2021-05-23 16:45
130,b,R-1108,2021-05-23 16:45,2021-05-24 06:10
131,a,R-1107,2021-05-24 07:10,2021-05-24 15:02
131,b,R-1107,2021-05-24 15:02,2021-05-25 04:18
132,a,R-1108,2021-05-25 07:30,2021-05-25 15:31
132,b,R-1108,2021-05-25 15:31,2021-05-26 05:24
133,a,R-1107,2021-05-26 21:00,2021-05-27 05:01
133,b,R-1107,2021-05-27 05:01,2021-05-27 19:21
134,a,R-1108,2021-05-27 06:05,2021-05-27 14:07
134,b,R-1108,2021-05-27 14:07,2021-05-28 04:13
135,a,R-1107,2021-05-28 13:00,2021-05-28 21:00
135,b,R-1107,2021-05-28 21:00,2021-05-29 10:30
136,a,R-1108,2021-05-29 08:30,2021-05-29 16:31
136,b,R-1108,2021-05-29 16:31,2021-05-30 06:20
137,a,R-1107,2021-05-30 13:19,2021-05-30 21:21
137,b,R-1107,2021-05-30 21:21,2021-05-31 14:03
138,a,R-1108,2021-05-31 07:10,2021-05-31 15:11
138,b,R-1108,2021-05-31 15:11,2021-06-01 06:10
139,a,R-1107,2021-06-01 13:00,2021-06-01 20:50
139,b,R-1107,2021-06-01 20:50,2021-06-02 10:25
140,a,R-1108,2021-06-02 09:00,2021-06-02 17:05
140,b,R-1108,2021-06-02 17:05,2021-06-03 07:00
141,a,R-1107,2021-06-03 04:30,2021-06-03 12:35
141,b,R-1107,2021-06-03 12:35,2021-06-04 02:49
142,a,R-1108,2021-06-04 02:30,2021-06-04 10:25
142,b,R-1108,2021-06-04 10:25,2021-06-05 00:00
143,a,R-1107,2021-06-05 10:30,2021-06-05 18:35
143,b,R-1107,2021-06-05 18:35,2021-06-06 09:30
144,a,R-1108,2021-06-06 05:00,2021-06-06 13:01
144,b,R-1108,2021-06-06 13:01,2021-06-07 02:00
145,a,R-1107,2021-06-07 13:50,2021-06-07 22:10
145,b,R-1107,2021-06-07 22:10,2021-06-08 19:00
146,a,R-1108,2021-06-09 05:00,2021-06-09 13:05
146,b,R-1108,2021-06-09 13:05,2021-06-10 02:36
147,a,R-1107,2021-06-10 05:40,2021-06-10 13:37
